speaker	task	time_stamp	gram_cat	context_cat	context_start_lg	context_specific	like_duration_ms	closure_presence	closure_duration	burst_presence	burst_duration
BESF_10	C	264.1166194	D	ML	E	E	197.1360801	1	41.52815414	1	18.06444159
BESF_10	C	275.3924097	V	ML	E	E	104.2941594	1	30.63156205	1	18.33618215
BESF_10	C	276.0181198	D	CS	E	CS_EES	164.1185599	1	64.01101985	1	11.18773337
BESF_10	C	278.415616	D	CS	E	CS_SEE	269.9120084	1	64.58955076	1	25.86667668
BESF_10	C	280.7553856	D	ML	E	E	109.4913237	1	115.239212	1	30.06085027
BESF_10	C	284.7937422	G	ML	E	E	125.3729325	1	59.43740239	1	11.89354298
BESF_10	C	294.1823934	D	ML	S	S	184.2380707	1	85.28038607	0	0
BESF_10	C	695.3696949	G	ML	E	E	129.7460959	1	41.4045793	1	10.40226608
BESF_10	C	779.3917307	D	CS	S	CS_SE	179.0013928	1	45.33679931	1	20.68769573
BESF_10	C	780.3679229	G	CS	E	CS_SEE	118.0890182	1	80.69648103	0	0
BESF_10	C	782.0274553	D	CS	E	CS_SEE	152.226696	1	47.2506002	1	16.75348511
BESF_10	C	785.1916726	D	ML	E	E	366.8231607	1	55.32353325	1	25.0353657
BESF_10	C	786.6329802	DQ	ML	E	E	173.3097133	1	60.48969349	1	13.44434423
BESF_10	C	789.4858971	D	ML	E	E	115.7442957	1	61.03618792	1	22.6786715
BESF_10	C	793.7944182	D	ML	E	E	133.7835549	1	76.67995693	1	16.84105628
BESF_10	D	42.31545062	D	ML	E	E	257.4567147	1	53.17742853	1	27.84253842
BESF_10	D	44.41623213	G	ML	E	E	127.2886214	1	34.34474421	1	15.91862496
BESF_10	D	44.9394096	D	ML	E	E	210.3515741	1	87.83533661	0	0
BESF_10	D	46.60354989	D	ML	E	E	301.4693919	1	102.9372458	1	18.10329636
BESF_10	D	47.84672944	D	ML	E	E	87.55398455	1	37.64512566	1	35.06289555
BESF_10	D	51.74290043	D	ML	E	E	149.014727	1	39.70593285	1	22.86315261
BESF_10	D	53.58315284	D	ML	E	E	161.610388	1	52.54925471	1	18.42515722
BESF_10	D	58.18574285	D	CS	E	CS_ES	316.4843874	1	139.0126012	0	0
BESF_10	D	72.68623207	D	CS	S	CS_SE	266.5459412	1	57.85581788	1	40.51220865
BESF_10	D	74.1270907	DQ	CS	E	CS_SEE	160.3118408	1	56.29260159	1	28.47035285
BESF_10	D	94.22990937	D	CS	S	CS_SE	139.5975522	1	45.48694573	1	16.27351041
BESF_10	D	95.14140153	D	CS	E	CS_SEE	209.3077782	1	70.87964272	1	19.43578013
BESF_10	D	98.32660781	D	ML	E	E	178.1140426	1	63.93203455	1	26.94160916
BESF_10	D	155.8760763	D	ML	E	E	184.966849	1	56.94436781	1	32.30149367
BESF_10	D	157.7842179	D	ML	E	E	309.432269	0	0	0	0
BESF_10	D	164.5279215	D	ML	E	E	330.9822678	1	82.79397688	1	72.26130665
BESF_10	D	293.2300658	D	ML	E	E	165.6709076	1	85.39816059	1	43.60112264
BESF_13	C	475.5072704	G	ML	E	E	65.8854726	1	37.13100527	0	0
BESF_13	C	698.9701975	D	ML	E	E	114.9127208	1	72.64664909	1	13.85525213
BESF_13	D	608.6224052	D	ML	E	E	116.4913283	1	95.9152539	0	0
BESF_18	C	36.02925574	D	ML	E	E	141.5989396	1	90.76030316	0	0
BESF_18	C	59.90631277	D	ML	E	E	113.2732759	1	81.63274932	1	22.78650294
